Question,Answer,,Question,Answer,,Question,Answer
"Featured in a 1990s Beck song,what is the translation of the Spanish lyric “Soy un perdedor”?",I’M A LOSER,,What animals are some of the only adult vertebrates with the ability to regrow a limb that has been cut off?,SALAMANDERS,,"With a wider wingspan than Air Force One, what country’s leader flies in an airbus dubbed “Air Sarko One”?",FRANCE
"Featured in Madonna’s 1998 video “Frozen,” mehndi are temporary henna tattoos traditionally placed where?",HANDS & FEET,,What animals engage one another in a mating competition that is often compared to boxing?,KANGAROOS,,"With an alien hero sent to earth as an infant, the 2010 film “Megamind” shares a setup with what other movie?",SUPERMAN
"Featured in the popular Chinese dish lo mein, “mein” means what in Chinese?",NOODLES,,What are renal calculi?,KIDNEY STONES,,"With Dana Andrews as Lt. Ted Stryker,the 1957 film “Zero Hour!” served as the basis for what movie spoof?",AIRPLANE!
"Featured in working mother’s list of “Most Powerful Moms in Sports,” Dara Torres is a well-known what?",SWIMMER,,What artist is known for his groundbreaking “drip” method of painting?,JACKSON POLLOCK,,"With handles shaped like bunny ears, the Rabbit is a popular high-end version of what kitchen utensil?",CORKSCREW
"Featured on a jokey apron,”Dijon Vu” is defined as “the feeling that you’ve had this” what “before”?",MUSTARD,,What artist painted his young daughter in his works “Paloma with an Orange” and “Paloma in Blue?”,PABLO PICASSO,,"With just 100 calories per serving,VitaTops are a snack food that are simply the “tops” of what treat?",MUFFINS
"Featured on light bulb packages,what unit of measure is defined as the amount of light emitted by one candle?",LUMEN,,"What artist’s famous sketch, “The Vitruvian Man,” is said to depict the ideal proportions of the male body?",LEONARDO DA VINCI,,"With lyrical answers like “Shave his belly with a rusty razor,” an old song asks “What shall we do with” whom?",A DRUNKEN SAILOR
"Featured on the Shakespeare family coat of arms,the French motto “Non sans droit!” means “not without” what?",RIGHT,,What athlete portrays himself in the 1977 movie “The Greatest”?,MOHAMMAD ALI,,"With music by Burt Bacharach,what Broadway musical is based on the 1960 film “The Apartment”?","PROMISES,PROMISES"
"Featuring a high,prominent bridge,an aquiline nose is better known as a what?",ROMAN NOSE,,"What athletes participate in Blood, Sweat, and Gears, an annual sporting event held in North Carolina?",CYCLISTS,,"With one degree equaling one gram of sucrose,the Brix scale can be used to measure what aspect of a food?",ITS SWEETNESS
"Featuring a nod to his company’s name, “Losing My Virginity” is the title of what entrepreneur’s memoir?",RICHARD BRANSON,,"What author courted controversy in 2006 when his memoir,”A Million Little Pieces” was proved to be widely exaggerated?",JAMES FREY,,"With only a 345-foot difference between its highest and lowest points,what is the flattest U.S. state?",FLORIDA
"Featuring an emotional scene set a potter’s wheel,a musical based on what movie opened in London in 2011?",GHOST,,What author famously defined “guts” as “grace under pressure?”,ERNEST HEMINGWAY,,"With over fifty mountain peeks exceeding 14,000 feet, what U.S. state has the most “fourteeners”?",COLORADO
"Featuring Betty White,what organization launched its irrelevant “Get Over It!” ad campaign in 2011?",AARP,,What author is often credited with being the first person to submit a book manuscript written on a typewriter?,MARK TWAIN,,"With Pluto being labeled a “dwarf planet” in 2006, what is now the smallest planet in our solar system?",MERCURY
"Featuring men who agree to murder to help one another,the 2011 comedy “Horrible Bosses” echoes what Hitchcock film?",STRANGERS ON A TRAIN,,"What author of “The Handmaid’s Tale” has argued that her novels are “speculative fiction,” not science fiction?",MARGARET ATWOOD,,"With Pluto reclassified as a “dwarf planet,” what planet in our solar system is now farthest from the Sun?",NEPTUNE
Fela kuti is credited with creating what genre of “world music”?,AFROBEAT,,"What author of “The Handmaid’s Tale” has argued that her novels are “speculative fiction,” not science fiction?",MARGARET ATWOOD,,"With roughly 1 in 10 companies giving employees the day off,what is the least-observed major U.S. holiday?",COLUMBUS DAY
"Filled with warm, slightly salty water, a neti pot is used for treating what common condition?",SINUSITUS,,What ballpark’s ground rules states it’s a double if the “baseball sticks in vines on bleacher wall”?,WRIGLEY FIELD,,"With roughly 8000 residents, what is the smallest state capital in the United States?",MONTPELIER VT
"Films like “Avatar” use what technology,where sensors are placed on an actor’s body to record their movements digitally?",PERFORMANCE CAPTURE,,What band claims its name was inspired by the initials of a popular brand of motor oil?,STONE TEMPLE PILOTS,,"With the help of Martin Luther,the 16th-century Reformation began as a movement to reform what?",ROMAN CATHOLIC CHURCH
"Finally closed in 2010, Chicago’s notorious Cabrini-Green housing projects were the setting of what ’70s sitcom?",GOOD TIMES,,"What band’s lead singer often went by the name “Mr. Mojo Risin,” an anagram of his real name?",THE DOORS,,"With white sand offsetting dark,peaty water,Ireland’s Lough Tay is a body of water often referred to as what?",GUINNESS LAKE
"First enjoyed in 1949, which candy brand was created by Bill and Dorothy Harmsen in Golden, Colorado?",JOLLY RANCHER,,What baseball legend shares his name with a “golden voiced’ homeless man who shot to national fame in 2011?,TED WILLIAMS,,Women currently make up what fraction of the Supreme Court?,1/3/2012
"First found in the U.S. in 1999,West Nile virus is primarily transmitted by what?",MOSQUITOES,,What baseball player was the first to have his signature printed on a Louisville Slugger bat?,HONUS WAGNER,,"Woodward and Bernstein,the journalists who first broke the Watergate Scandal,have what first names?",BOB AND CARL
First Lady of France Carla Bruni-Sarkozy plays a museum tour guide in whose 2011 film “Midnight in Paris”?,WOODY ALLEN,,What best-selling novelist copyrights his books under the name “Garp Enterprises Ltd.”?,JOHN IRVING,,Worn bindings and missing dust jackets are common problems that can devalue what collectibles?,BOOKS
"First used to describe certain jazz fans in the ’40s,what term now refers to irony-loving youngsters?",HIPSTER,,"What beverage is named for the football team at the University of Florida,where it was developed?",GATORADE,,Wrestler and actor Andre the Giant’s unusual height was caused by a rare defect in what gland?,PITUITARY
"Fitting for a devout Baptist and Sunday school teacher,”Deacon” was the Secret Service code name for what president?",JIMMY CARTER,,What biopic’s screenplay was translated into brail at its subject’s request?,RAY,,"Written by the British group Psapp, “Cosy in the Rocket” is the theme song to what long-running TV drama?",GREY’S ANATOMY
"Fittingly, John Deere round balers and square balers do what?",GATHER HAY,,What birds rotate their wings in a distinct figure-eight pattern that allows them to fly backwards?,HUMMINGBIRDS,,"Written circa 340 BC,Aristotle’s work “Meteorologica” largely examines which of these subjects?",WEATHER
"Fittingly, the Liberty Bell is featured in the logo of what Major League Baseball team?",PHILADELPHIA PHILLIES,,What body part is the final word of the chorus in the folk song “Oh! Susanna”?,KNEE,,"Years before his brief marriage to Renee Zellweger,what country crooner had a hit with the song “You Had Me from Hello”?",KENNY CHESNEY
"Fittingly, the World Potato Congress was held in the U.S. for the first time in 2006 in what U.S. state capital?",BOISE,,What book of the Bible derives its name from the Greek word for “creation”?,GENESIS,,"Years before starring in the movie “Enchanted,” what actress worked briefly as a Hooters waitress?",AMY ADAMS
"Fittingly, what world landmark boasts a feature known as “The Tsar’s Tower?”",THE KREMLIN,,What brand’s Web Site urges visitors to “become an agent for the Wetness Protection Program”?,ARRID,,"“1 Radioactive Bite,8 Legs and 183 Previews” was the title of a 2011 review for what Broadway musical?",SPIDER MAN:TURN OFF THE DARK
"Fittingly, “Georgia On My Mind” is the theme song to which of these classic TV shows?",DESIGNING WOMEN,,"What breed of dog,known for its thick white coat,is named for the nomadic people of Siberia who once raised it?",SAMOYED,,“A crate is hidden away in a large government warehouse” describes the end of what adventure film?,RAIDERS OF THE LAST ARK
"Fittingly,the Atlanta-Fulton Public Library displays the typewriter used to write what classic novel?",GONE WITH THE WIND,,"What British author’s second novel was dedicated “To my mum,Nellie,for not being like Bridget’s”?",HELEN FIELDING,,"“A is for Amy,who fell down the stairs,” is a quote from a book by what macabre writer-illustrator?",EDWARD GOREY
"Fittingly,the entrance to Colorado’s state capitol building features the phrase “One Mile Above” what?",SEA LEVEL,,What Broadway musical features the extravagant song-and dance number “Springtime for Hitler”?,THE PRODUCERS,,“Across the Universe” is 2007 film that showcases the music of what legendary group?,THE BEATLES
"Fittingly,the first Filene’s Basement was located below a store called Filene’s in what big city?",BOSTON,,"What Broadway musical features the song “Food, Glorious Food”?",OLIVER!,,"“Aggies,Immies,Shooters,and Swirls” is the title of a coffee table book devoted to what children’s game?",MARBLES
"Fittingly,the online retailer Zappos adapted its name from “zapatos,” the Spanish word for what?",SHOES,,What Broadway musical is largely set in a seedy nightclub called the Kit Kat Klub?,CABARET,,“American Idol” judge Randy Jackson got his big break playing what instrument for the rock band Journey?,BASS GUITAR
"Fittingly,what man-made fabric derived its name by rearranging the letters in the word “expands”?",SPANDEX,,What Broadway musical is subtitled “The American Tribal Love-Rock Musical”?,HAIR,,“Ariel’s Beginning” is the sub-title of a 2008 straight-to-DVD prequel of what animated Disney movie?,THE LITTLE MERMAID
"Fittingly,which of these popular 20th century authors is buried in Tarzana,California?",EDGAR RICE BURROUGHS,,What Broadway musical spawned an unsuccessful 1990 sequel titled “Miss Hannigan’s Revenge”?,ANNIE,,"“As far back as I can remember,I always wanted to be a gangster,” is heard near the start of what Scorsese film?",GOODFELLAS
